ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
ADH,2022,Annuel,IFRS,20127824455.0,,3733477503.0,9.938660829441947e+17,25890593.93,71652.0,1196552867.0,,37523.0,,104535359.57,-146541672.13,2.125794915886047e+16,,,
ADI,2022,Annuel,IFRS,13.0,,,,202.0,68914.0,6.0,,2022.0,,228.0,55.0,174.0,,,5.0
AKT,2022,Annuel,IFRS,1550514.0,,,,411671297.36,42521013.94,33571711.36,283.0,43495246.0,,3363911.4,24006275.04,16531716.0,,,
ATW,2022,Annuel,IFRS,6.304179805963259e+17,,,,5641842.0,,26313495.0,13090344.0,6065282.0,-3606838.0,-82670990062.0,4150804.0,-4402502.0,,15.5,
CIH,2022,Annuel,IFRS,,,,,,,,,,,,,,,,
IAM,2022,Annuel,IFRS,65530.0,12721.0,,12816.0,-17619.0,6271041.0,35731.0,11950.0,146.0,,3502875.0,10065256.0,1466.0,3.0,,
JET,2022,Annuel,IFRS,,,,,21430999.28,2022.0,-10678.45,2022.0,,,7417856.55,7417856.55,2366507.65,,,
MSA,2022,Annuel,IFRS,7809177.0,,,,1614059.0,98102.0,3591981.0,,816793666363.0,,2022.0,84725.0,-584923.0,,,
TAQA,2022,Annuel,IFRS,1303.0,,,,-8223453.76,1556733.5,7812396.0,,1004834.0,,357821442.85,1199023160.53,,,,
TGCC,2022,Annuel,IFRS,5060967.0,1242951.0,,-114737.0,2367079763.35,41065248.56,3202774941.47,,,,74893737.37,233611103.25,-116588.0,31639850.0,,
