ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
ADH,2023,Annuel,IFRS,20582957828.0,,3851840394.0,1.0259401249938661e+18,25640849.01,2188636247.06,294015620.42,,,,33288248.32,-178147830.38,21257949.0,,,
ADI,2023,Annuel,IFRS,12.0,,,,8.0,6893.0,119183.0,,2023.0,,134.0,238.0,-396.0,,,
AKT,2023,Annuel,IFRS,3034006727.0,,,,347847356.77,131353893.0,54706147.36,,175.0,,4629642.61,48461542.3,79847609.0,,6.0,
ATW,2023,Annuel,IFRS,-3733462592592374.0,,,,5489740.0,,29942723.0,14802573.0,7507605.0,-3187884.0,1078961.0,6012809.0,-2842712.0,,16.5,
ATW,2023,S1,IFRS,,,,,,,,,,,,,,,,
CIH,2023,Annuel,IFRS,218.0,218.0,,,260.0,,4.0,1.0,-710.0,590.0,1659.5,855.0,3.0,,14.0,
IAM,2023,Annuel,IFRS,65543.0,14914.0,,9885.0,-14397.0,6876113.0,36786.0,18492.0,149.0,,3308841.0,9626330.0,2630.0,,,
JET,2023,Annuel,IFRS,,,,,-118039890.28,-9952779.61,6036000.0,2023.0,,,10358661.4,34443750.74,,,,
MSA,2023,Annuel,IFRS,8059852.0,,,,1614059.0,88410.0,2357.0,,852234816793.0,,72327.0,56349.0,-287808.0,,,
TAQA,2023,Annuel,IFRS,11956.0,,,,2270.0,1687191.41,13603562.0,5522.0,2270.0,,384671706.34,1295913006.49,,,,
TGCC,2023,Annuel,IFRS,48700.0,1308388.0,,38581.0,3379298997.19,40362423.95,4425020133.48,,,,107302593.14,265350729.31,-74548.0,31639850.0,,
