ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
ADH,2021,Annuel,IFRS,20429555704.0,,3331901845.0,1803742371.0,17794.0,74663.0,1173466044.0,,-88281.0,,-518270175.0,-729540737.31,6701715.0,,,
ADI,2021,Annuel,IFRS,178083165986.0,,,,367.0,3133836.0,2021.0,,2021.0,,509.0,96.0,-148.0,,,5.0
ATW,2021,Annuel,IFRS,5.963258365681076e+17,,,,8943344.0,,24379629.0,11623473.0,5144461.0,-5454385.0,85666860842.0,4472443.0,-1198813.0,,15.0,
CIH,2021,Annuel,IFRS,89.0,,,,318.0,,3.0,200.0,-603.0,996.0,1533.6,548.0,3.0,,14.0,
IAM,2021,Annuel,IFRS,61782.0,12069.0,,11780.0,-17349.0,6203987.0,35790.0,19100.0,146.0,,3564746.0,6956445.0,3022.0,3.0,2.0,
JET,2021,Annuel,IFRS,,,,,-275.51,846.0,1474.78,2021.0,,,131034519.8,210.0,324.633,,,
MSA,2021,Annuel,IFRS,7577521.0,,,,462834576.18,98117214.78,2187.0,,3592.0,,576668785.34,441894275.95,-1219665.0,,,
TAQA,2021,Annuel,IFRS,9835.0,,,,118507645.9,7721429.52,4486843566.27,,1005.0,,401413464.34,1198919307.04,1500008240.15,,,
TGCC,2021,Annuel,IFRS,3887476.0,1242951930144.0,,32491.0,71677951.0,2019178.0,2111559715.19,0.8,,,91733675.78,88461869.24,-48078.0,2816666.0,,
