ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
CIH,2025,T1,IFRS,132400,7250,5400,7800,6400,98500,1125,N/A,298,-285,N/A,N/A,N/A,34250000,N/A,415.00
CIH,2024,T4,IFRS,125850,6876,5120,7250,5950,92400,4470,1450,876,-1072,285,2450,420,33642011,14.00,385.00
CIH,2024,T2,IFRS,118500,6520,4850,6850,5200,88500,2180,680,425,-520,135,1150,210,31642011,N/A,365.00
CIH,2023,T4,IFRS,117400,6250,4550,6420,4850,85400,4470,1280,710,-1280,265,2150,380,31642011,14.00,365.00
CIH,2023,T2,IFRS,112500,5850,4250,6100,4250,82100,2215,620,385,-610,125,1050,195,31642011,N/A,355.00
CIH,2022,T4,IFRS,106300,5480,3850,5850,3950,78500,3415,1150,661,-450,245,1850,320,31642011,14.00,335.00
CIH,2021,T4,IFRS,92100,5210,3420,5210,3450,71500,3105,1080,603,-420,225,1650,295,28205421,14.00,345.00
CIH,2020,T4,IFRS,88500,4950,2850,4850,2950,65400,2760,980,80,-980,215,1250,260,28205421,14.00,275.00
CIH,2019,T4,IFRS,75100,4750,2650,4250,2650,58200,2515,920,426,-215,195,1420,245,28205421,14.00,285.00
CIH,2018,T4,IFRS,64850,5240,2550,4120,3850,41500,2250,950,455,-215,185,1250,240,28205421,14.00,285.00
CIH,2017,T4,IFRS,51200,4850,2150,3850,3250,36500,2020,880,435,-195,170,1100,215,28205421,14.00,305.00
CIH,2016,T4,IFRS,45800,4520,1850,3200,2950,32500,1850,810,412,-180,160,950,190,26608925,14.00,275.00
CIH,2015,T4,IFRS,42500,4210,1500,2850,2650,29500,1780,780,515,-85,150,880,175,26608925,14.00,260.00
CIH,2014,T4,IFRS,38500,3850,1200,2450,2410,26500,1650,720,505,-75,145,820,160,26608925,14.00,255.00
CIH,2013,T4,IFRS,34200,3520,950,2100,2150,24500,1550,650,485,-65,135,750,145,26608925,12.00,230.00
CIH,2012,T4,IFRS,31500,3320,850,1850,1950,22500,1480,610,420,-115,125,680,135,26608925,10.00,245.00
CIH,2011,T4,IFRS,29500,3150,720,1650,1750,20500,1410,580,380,-125,115,620,120,22617636,10.00,295.00
CIH,2010,T4,IFRS,28100,2980,650,1450,1550,18500,1350,550,350,-135,110,580,110,22617636,10.00,310.00
TQM,2025,T2,IFRS,22250,6228,7850,960,1640,2650,5380,1810,577,0,425,1150,155,23590224,N/A,1580.00
TQM,2025,T1,IFRS,N/A,N/A,7900,980,1620,2620,2615,N/A,N/A,0,N/A,N/A,N/A,23590224,N/A,1620.00
TQM,2024,T4,IFRS,21800,6664,7800,950,1650,2600,12800,3650,1052,0,840,2350,320,23590224,37.00,1520.00
TQM,2024,T3,IFRS,N/A,N/A,8100,920,1610,2700,3250,N/A,N/A,0,N/A,N/A,N/A,23590224,N/A,1450.00
TQM,2024,T2,IFRS,21950,6350,8250,910,1630,2720,5680,1825,510,0,415,1120,145,23590224,N/A,1380.00
TQM,2024,T1,IFRS,N/A,N/A,8350,890,1600,2740,3120,N/A,N/A,0,N/A,N/A,N/A,23590224,N/A,1250.00
